Node Number	Directional Deformation (µm)
1	3.
2	3.
3	3.
4	3.
5	0.
6	0.
7	0.
8	0.
9	0.
10	0.
11	0.
12	0.
13	0.
14	0.
15	0.
16	0.
17	0.
18	0.
19	0.
20	0.
21	0.
22	0.
23	0.
24	0.
25	0.
26	0.
27	0.
28	0.
29	0.
30	0.
31	0.
32	0.
33	0.
34	0.
35	0.
36	0.
37	0.
38	0.
39	0.
40	0.
41	0.
42	0.
43	0.
44	0.
45	0.
46	0.
47	0.
48	0.
49	6.9686e-002
50	-6.4648e-002
51	5.61e-002
52	4.6852e-002
53	5.6661e-002
54	6.494e-002
55	8.7966e-002
56	8.5264e-002
57	7.6516e-002
58	9.5028e-002
59	0.10076
60	8.2276e-002
61	3.4948e-002
62	2.5007e-002
63	8.0146e-002
64	6.2013e-002
65	-2.7116e-003
66	-8.9536e-002
67	0.2601
68	1.3384
69	2.5575
70	2.7177
71	1.7667
72	0.45247
73	-0.10762
74	-0.14079
75	-7.8679e-002
76	-2.2874e-002
77	4.0675e-003
78	3.8201e-003
79	-3.5616e-005
80	3.5842
81	-1.5624e-003
82	6.2402e-003
83	1.5346e-002
84	1.5457e-003
85	0.10758
86	0.49004
87	0.86076
88	1.0359
89	1.0227
90	0.92879
91	1.266
92	2.2863
93	3.1883
94	3.5081
95	3.576
96	3.1764
97	1.9161
98	0.40621
99	-7.0305e-002
100	1.4832e-002
101	3.846e-002
102	5.2149e-003
103	-2.0638e-002
104	-2.5147e-002
105	-3.0653e-002
106	-2.388e-002
107	-1.2133e-003
108	2.5901e-002
109	3.5
110	3.5
111	3.5
112	3.5
113	0.
114	0.
115	0.
116	0.
117	1.
118	1.
119	1.
120	1.
121	0.
122	0.
123	0.
124	0.
125	2.
126	2.
127	2.
128	2.
129	1.
130	1.
131	1.
132	1.
133	0.
134	0.
135	0.
136	0.
137	0.
138	0.
139	0.
140	0.
141	0.
142	0.
143	0.
144	0.
145	0.
146	0.
147	0.
148	0.
149	0.
150	0.
151	0.
152	0.
153	0.
154	0.
155	0.
156	0.
157	0.
158	0.
159	0.
160	0.
161	6.9679e-002
162	-6.464e-002
163	5.6109e-002
164	4.6847e-002
165	5.6658e-002
166	6.4961e-002
167	8.8014e-002
168	8.5249e-002
169	7.6533e-002
170	9.504e-002
171	0.10076
172	8.2282e-002
173	3.4971e-002
174	2.5047e-002
175	8.0149e-002
176	6.2019e-002
177	-2.7131e-003
178	-8.9579e-002
179	0.26018
180	1.3383
181	2.557
182	2.7178
183	1.7669
184	0.45272
185	-0.10766
186	-0.14075
187	-7.8687e-002
188	-2.2889e-002
189	4.0644e-003
190	3.8175e-003
191	-3.6836e-005
192	3.5843
193	-1.5636e-003
194	6.2331e-003
195	1.5343e-002
196	1.4583e-003
197	0.10762
198	0.49007
199	0.86073
200	1.0359
201	1.0227
202	0.92888
203	1.2664
204	2.2863
205	3.187
206	3.5083
207	3.5762
208	3.1758
209	1.9157
210	0.40711
211	-7.0388e-002
212	1.4714e-002
213	3.8525e-002
214	5.2805e-003
215	-2.0647e-002
216	-2.5139e-002
217	-3.0638e-002
218	-2.3864e-002
219	-1.1333e-003
220	2.5981e-002
221	6.5873e-002
222	6.8735e-002
223	4.6578e-002
224	5.2213e-002
225	5.9733e-002
226	7.6086e-002
227	9.1428e-002
228	7.7659e-002
229	8.4418e-002
230	9.9917e-002
231	9.555e-002
232	6.0359e-002
233	1.9153e-002
234	5.1182e-002
235	8.8139e-002
236	9.1728e-003
237	-2.5182e-002
238	-8.6655e-002
239	-7.6352e-002
240	-3.2166e-004
241	0.72626
242	2.0326
243	2.7891
244	2.3573
245	1.0299
246	9.3846e-002
247	-0.15485
248	-0.11106
249	-4.8052e-002
250	-5.17e-003
251	5.8956e-003
252	1.9298e-003
253	-2.0108e-003
254	-2.525e-003
255	-2.729e-003
256	-2.727e-003
257	1.2537e-003
258	1.2462e-002
259	1.2181e-002
260	1.7091e-002
261	0.26745
262	0.70566
263	0.97482
264	1.0428
265	0.96488
266	1.0106
267	1.7308
268	2.8176
269	3.3842
270	3.5671
271	3.5804
272	3.5797
273	3.5834
274	3.4832
275	2.6797
276	1.0433
277	6.2702e-002
278	-4.9393e-002
279	4.0185e-002
280	2.4811e-002
281	-1.1017e-002
282	-2.5318e-002
283	-2.7098e-002
284	-3.1135e-002
285	-1.217e-002
286	1.0692e-002
287	4.4369e-002
288	5.6271e-002
289	6.5886e-002
290	6.8749e-002
291	4.6597e-002
292	5.2193e-002
293	5.9745e-002
294	7.6041e-002
295	9.143e-002
296	7.7677e-002
297	8.4439e-002
298	9.9914e-002
299	9.5558e-002
300	6.0366e-002
301	1.916e-002
302	5.1158e-002
303	8.8123e-002
304	9.1671e-003
305	-2.5168e-002
306	-8.6694e-002
307	-7.6369e-002
308	-3.6146e-004
309	0.72616
310	2.0326
311	2.7893
312	2.3571
313	1.03
314	9.3815e-002
